Sorter,Sorting Type,Array Size,Run Number,Duration (ms)
BubbleSortUntilNoChange,RANDOM,1000,1,11.31
BubbleSortUntilNoChange,RANDOM,1000,2,6.81
BubbleSortUntilNoChange,RANDOM,1000,3,6.20
BubbleSortUntilNoChange,RANDOM,1000,4,5.79
BubbleSortUntilNoChange,RANDOM,1000,5,5.05
BubbleSortUntilNoChange,RANDOM,1000,6,4.99
BubbleSortUntilNoChange,RANDOM,1000,7,4.98
BubbleSortUntilNoChange,RANDOM,1000,8,3.71
BubbleSortUntilNoChange,RANDOM,1000,9,3.67
BubbleSortUntilNoChange,RANDOM,1000,10,3.25
BubbleSortUntilNoChange,RANDOM,1000,11,3.45
BubbleSortUntilNoChange,RANDOM,1000,12,3.38
BubbleSortUntilNoChange,RANDOM,1000,13,3.22
BubbleSortUntilNoChange,RANDOM,1000,14,3.32
BubbleSortUntilNoChange,RANDOM,1000,15,3.26
BubbleSortUntilNoChange,RANDOM,1000,16,3.24
BubbleSortUntilNoChange,RANDOM,1000,17,3.29
BubbleSortUntilNoChange,RANDOM,1000,18,3.24
BubbleSortUntilNoChange,RANDOM,1000,19,3.30
BubbleSortUntilNoChange,RANDOM,1000,20,5.17
BubbleSortUntilNoChange,RANDOM,1000,21,3.37
BubbleSortUntilNoChange,RANDOM,1000,22,3.20
BubbleSortUntilNoChange,RANDOM,1000,23,4.23
BubbleSortUntilNoChange,RANDOM,1000,24,3.20
BubbleSortUntilNoChange,RANDOM,1000,25,3.32
BubbleSortUntilNoChange,RANDOM,1000,26,3.26
BubbleSortUntilNoChange,RANDOM,1000,27,3.26
BubbleSortUntilNoChange,RANDOM,1000,28,3.30
BubbleSortUntilNoChange,RANDOM,1000,29,3.92
BubbleSortUntilNoChange,RANDOM,1000,30,3.80
BubbleSortUntilNoChange,RANDOM,1000,31,3.47
BubbleSortUntilNoChange,RANDOM,1000,32,3.19
BubbleSortUntilNoChange,RANDOM,1000,33,3.24
BubbleSortUntilNoChange,RANDOM,1000,34,3.30
BubbleSortUntilNoChange,RANDOM,1000,35,3.24
BubbleSortUntilNoChange,RANDOM,1000,36,3.33
BubbleSortUntilNoChange,RANDOM,1000,37,3.24
BubbleSortUntilNoChange,RANDOM,1000,38,3.31
BubbleSortUntilNoChange,RANDOM,1000,39,3.32
BubbleSortUntilNoChange,RANDOM,1000,40,3.59
BubbleSortUntilNoChange,RANDOM,1000,41,3.36
BubbleSortUntilNoChange,RANDOM,1000,42,3.36
BubbleSortUntilNoChange,RANDOM,1000,43,3.38
BubbleSortUntilNoChange,RANDOM,1000,44,3.24
BubbleSortUntilNoChange,RANDOM,1000,45,3.32
BubbleSortUntilNoChange,RANDOM,1000,46,3.27
BubbleSortUntilNoChange,RANDOM,1000,47,3.35
BubbleSortUntilNoChange,RANDOM,1000,48,3.25
BubbleSortUntilNoChange,RANDOM,1000,49,3.28
BubbleSortUntilNoChange,RANDOM,1000,50,3.41
BubbleSortUntilNoChange,RANDOM,5000,1,98.09
BubbleSortUntilNoChange,RANDOM,5000,2,97.71
BubbleSortUntilNoChange,RANDOM,5000,3,96.47
BubbleSortUntilNoChange,RANDOM,5000,4,92.48
BubbleSortUntilNoChange,RANDOM,5000,5,90.91
BubbleSortUntilNoChange,RANDOM,5000,6,92.23
BubbleSortUntilNoChange,RANDOM,5000,7,91.97
BubbleSortUntilNoChange,RANDOM,5000,8,91.76
BubbleSortUntilNoChange,RANDOM,5000,9,91.89
BubbleSortUntilNoChange,RANDOM,5000,10,91.62
BubbleSortUntilNoChange,RANDOM,5000,11,92.06
BubbleSortUntilNoChange,RANDOM,5000,12,92.02
BubbleSortUntilNoChange,RANDOM,5000,13,92.92
BubbleSortUntilNoChange,RANDOM,5000,14,98.28
BubbleSortUntilNoChange,RANDOM,5000,15,91.42
BubbleSortUntilNoChange,RANDOM,5000,16,92.22
BubbleSortUntilNoChange,RANDOM,5000,17,93.11
BubbleSortUntilNoChange,RANDOM,5000,18,92.11
BubbleSortUntilNoChange,RANDOM,5000,19,93.87
BubbleSortUntilNoChange,RANDOM,5000,20,101.99
BubbleSortUntilNoChange,RANDOM,5000,21,91.22
BubbleSortUntilNoChange,RANDOM,5000,22,92.23
BubbleSortUntilNoChange,RANDOM,5000,23,91.80
BubbleSortUntilNoChange,RANDOM,5000,24,92.41
BubbleSortUntilNoChange,RANDOM,5000,25,93.92
BubbleSortUntilNoChange,RANDOM,5000,26,91.46
BubbleSortUntilNoChange,RANDOM,5000,27,91.95
BubbleSortUntilNoChange,RANDOM,5000,28,90.84
BubbleSortUntilNoChange,RANDOM,5000,29,93.55
BubbleSortUntilNoChange,RANDOM,5000,30,91.35
BubbleSortUntilNoChange,RANDOM,5000,31,94.90
BubbleSortUntilNoChange,RANDOM,5000,32,92.44
BubbleSortUntilNoChange,RANDOM,5000,33,90.42
BubbleSortUntilNoChange,RANDOM,5000,34,92.63
BubbleSortUntilNoChange,RANDOM,5000,35,92.60
BubbleSortUntilNoChange,RANDOM,5000,36,94.77
