Type,Sentence,Choice,Correct,Time Spent (s),Age,Gender,Expertise
kebab-case,move down,move-down,Correct,5.053,20,male,expert
kebab-case,move up,move-up,Correct,1.232,,,
kebab-case,move left,move-left,Correct,1.251,,,
kebab-case,set error message,Incorrect,Incorrect,2.468,,,
kebab-case,print formatted info,Incorrect,Incorrect,2.041,,,
kebab-case,create string array,create-string-array,Correct,1.332,,,
kebab-case,handle default error message,handle-default-error-message,Correct,2.899,,,
kebab-case,return format on click,return-format-on-click,Correct,3.045,,,
kebab-case,format info into normal,Incorrect,Incorrect,2.833,,,
camelCase,move right,moveRight,Correct,2.335,20,male,expert
camelCase,back up,backUp,Correct,0.95,,,
camelCase,back down,backDown,Correct,1.392,,,
camelCase,set profile information,setProfileInformation,Correct,1.718,,,
camelCase,create integer array,Incorrect,Incorrect,1.948,,,
camelCase,handle submit form,Incorrect,Incorrect,1.106,,,
camelCase,return format on click,Incorrect,Incorrect,5.59,,,
camelCase,handle default state change,Incorrect,Incorrect,1.354,,,
camelCase,print info to csv,printInfoToCsv,Correct,8.835,,,
