Type,Sentence,Choice,Correct,Time Spent (s),Age,Gender,Expertise
kebab-case,move down,move-down,Correct,1.782,26,male,expert
kebab-case,move up,move-up,Correct,1.286,26,male,expert
kebab-case,move left,move-left,Correct,1.713,26,male,expert
kebab-case,set error message,set-error-message,Correct,2.311,26,male,expert
kebab-case,print formatted info,print-formatted-info,Correct,2.133,26,male,expert
kebab-case,create string array,create-string-array,Correct,1.995,26,male,expert
kebab-case,handle default error message,handle-default-error-message,Correct,2.518,26,male,expert
kebab-case,return format on click,return-format-on-click,Correct,2.05,26,male,expert
kebab-case,format info into normal,format-info-into-normal,Correct,4.342,26,male,expert
camelCase,move right,moveRight,Correct,1.981,26,male,expert
camelCase,back up,backUp,Correct,1.258,26,male,expert
camelCase,back down,backDown,Correct,1.28,26,male,expert
camelCase,set profile information,setProfileInformation,Correct,1.684,26,male,expert
camelCase,create integer array,createIntegerArray,Correct,1.864,26,male,expert
camelCase,handle submit form,Incorrect,Incorrect,2.154,26,male,expert
camelCase,return format on click,returnFormatOnClick,Correct,6.936,26,male,expert
camelCase,handle default state change,handleDefaultStateChange,Correct,3.241,26,male,expert
camelCase,print info to csv,printInfoToCsv,Correct,2.351,26,male,expert
