Type,Sentence,Choice,Correct,Time Spent (s),Age,Gender,Expertise
kebab-case,move down,move-down,Correct,2.051,20,male,beginner
kebab-case,move up,move-up,Correct,2.286,,,
kebab-case,move left,move-left,Correct,2.647,,,
kebab-case,set error message,set-error-message,Correct,3.05,,,
kebab-case,print formatted info,Incorrect,Correct,2.911,,,
kebab-case,create string array,create-string-array,Correct,3.564,,,
kebab-case,handle default error message,handle-default-error-message,Correct,6.078,,,
kebab-case,return format on click,Incorrect,Incorrect,2.792,,,
kebab-case,format info into normal,format-info-into-normal,Correct,5.642,,,
camelCase,move right,moveRight,Correct,3.774,20,male,beginner
camelCase,back up,backUp,Correct,2.037,,,
camelCase,back down,backDown,Correct,2.011,,,
camelCase,set profile information,setProfileInformation,Correct,3.593,,,
camelCase,create integer array,createIntegerArray,Correct,3.152,,,
camelCase,handle submit form,handleSubmitForm,Correct,4.276,,,
camelCase,return format on click,returnFormatOnClick,Correct,5.708,,,
camelCase,handle default state change,handleDefaultStateChange,Correct,5.035,,,
camelCase,print info to csv,printInfoToCsv,Correct,4.656,,,
