Sorter,Sorting Type,Array Size,Run Number,Duration (ms)
BubbleSortUntilNoChange,RANDOM,1000,1,2.34
BubbleSortUntilNoChange,RANDOM,1000,2,2.39
BubbleSortUntilNoChange,RANDOM,1000,3,2.35
BubbleSortUntilNoChange,RANDOM,1000,4,2.35
BubbleSortUntilNoChange,RANDOM,1000,5,2.20
BubbleSortUntilNoChange,RANDOM,1000,6,2.26
BubbleSortUntilNoChange,RANDOM,1000,7,2.15
BubbleSortUntilNoChange,RANDOM,1000,8,2.20
BubbleSortUntilNoChange,RANDOM,1000,9,2.19
BubbleSortUntilNoChange,RANDOM,1000,10,2.09
BubbleSortUntilNoChange,RANDOM,1000,11,2.08
BubbleSortUntilNoChange,RANDOM,1000,12,2.14
BubbleSortUntilNoChange,RANDOM,1000,13,2.08
BubbleSortUntilNoChange,RANDOM,1000,14,2.14
BubbleSortUntilNoChange,RANDOM,1000,15,2.14
BubbleSortUntilNoChange,RANDOM,1000,16,2.18
BubbleSortUntilNoChange,RANDOM,1000,17,2.15
BubbleSortUntilNoChange,RANDOM,1000,18,2.09
BubbleSortUntilNoChange,RANDOM,1000,19,2.06
BubbleSortUntilNoChange,RANDOM,1000,20,2.08
BubbleSortUntilNoChange,RANDOM,1000,21,2.19
BubbleSortUntilNoChange,RANDOM,1000,22,2.17
BubbleSortUntilNoChange,RANDOM,1000,23,2.09
BubbleSortUntilNoChange,RANDOM,1000,24,2.03
BubbleSortUntilNoChange,RANDOM,1000,25,2.05
BubbleSortUntilNoChange,RANDOM,1000,26,1.92
BubbleSortUntilNoChange,RANDOM,1000,27,2.06
BubbleSortUntilNoChange,RANDOM,1000,28,2.05
BubbleSortUntilNoChange,RANDOM,1000,29,2.02
BubbleSortUntilNoChange,RANDOM,1000,30,2.16
BubbleSortUntilNoChange,RANDOM,1000,31,5.00
BubbleSortUntilNoChange,RANDOM,1000,32,3.52
BubbleSortUntilNoChange,RANDOM,1000,33,2.36
BubbleSortUntilNoChange,RANDOM,1000,34,2.27
BubbleSortUntilNoChange,RANDOM,1000,35,1.87
