Sorter,Sorting Type,Array Size,Run Number,Duration (ms)
BubbleSortUntilNoChange,RANDOM,1000,1,11.04
BubbleSortUntilNoChange,RANDOM,1000,2,16.08
BubbleSortUntilNoChange,RANDOM,1000,3,1.83
BubbleSortUntilNoChange,RANDOM,1000,4,1.87
BubbleSortUntilNoChange,RANDOM,1000,5,1.88
BubbleSortUntilNoChange,RANDOM,1000,6,1.88
BubbleSortUntilNoChange,RANDOM,1000,7,1.86
BubbleSortUntilNoChange,RANDOM,1000,8,1.84
BubbleSortUntilNoChange,RANDOM,1000,9,1.80
BubbleSortUntilNoChange,RANDOM,1000,10,1.74
BubbleSortUntilNoChange,RANDOM,1000,11,1.86
BubbleSortUntilNoChange,RANDOM,1000,12,1.79
BubbleSortUntilNoChange,RANDOM,1000,13,1.76
BubbleSortUntilNoChange,RANDOM,1000,14,1.80
BubbleSortUntilNoChange,RANDOM,1000,15,1.84
BubbleSortUntilNoChange,RANDOM,1000,16,1.80
BubbleSortUntilNoChange,RANDOM,1000,17,1.83
BubbleSortUntilNoChange,RANDOM,1000,18,3.01
BubbleSortUntilNoChange,RANDOM,1000,19,3.48
BubbleSortUntilNoChange,RANDOM,1000,20,1.80
BubbleSortUntilNoChange,RANDOM,1000,21,1.82
BubbleSortUntilNoChange,RANDOM,1000,22,1.79
BubbleSortUntilNoChange,RANDOM,1000,23,1.80
BubbleSortUntilNoChange,RANDOM,1000,24,1.81
BubbleSortUntilNoChange,RANDOM,1000,25,1.81
BubbleSortUntilNoChange,RANDOM,1000,26,1.85
BubbleSortUntilNoChange,RANDOM,1000,27,1.81
BubbleSortUntilNoChange,RANDOM,1000,28,1.81
BubbleSortUntilNoChange,RANDOM,1000,29,1.82
BubbleSortUntilNoChange,RANDOM,1000,30,1.81
BubbleSortUntilNoChange,RANDOM,1000,31,1.76
BubbleSortUntilNoChange,RANDOM,1000,32,1.79
BubbleSortUntilNoChange,RANDOM,1000,33,1.79
BubbleSortUntilNoChange,RANDOM,1000,34,1.75
BubbleSortUntilNoChange,RANDOM,1000,35,1.80
BubbleSortUntilNoChange,RANDOM,1000,36,1.82
BubbleSortUntilNoChange,RANDOM,1000,37,1.83
BubbleSortUntilNoChange,RANDOM,1000,38,1.81
BubbleSortUntilNoChange,RANDOM,1000,39,1.83
BubbleSortUntilNoChange,RANDOM,1000,40,2.98
BubbleSortUntilNoChange,RANDOM,1000,41,3.43
BubbleSortUntilNoChange,RANDOM,1000,42,1.75
BubbleSortUntilNoChange,RANDOM,1000,43,1.74
BubbleSortUntilNoChange,RANDOM,1000,44,1.71
BubbleSortUntilNoChange,RANDOM,1000,45,1.76
BubbleSortUntilNoChange,RANDOM,1000,46,1.81
BubbleSortUntilNoChange,RANDOM,1000,47,1.83
BubbleSortUntilNoChange,RANDOM,1000,48,1.84
BubbleSortUntilNoChange,RANDOM,1000,49,1.82
BubbleSortUntilNoChange,RANDOM,1000,50,1.85
BubbleSortUntilNoChange,RANDOM,1000,51,1.82
BubbleSortUntilNoChange,RANDOM,1000,52,1.80
BubbleSortUntilNoChange,RANDOM,1000,53,1.77
BubbleSortUntilNoChange,RANDOM,1000,54,1.74
BubbleSortUntilNoChange,RANDOM,1000,55,1.68
BubbleSortUntilNoChange,RANDOM,1000,56,1.67
BubbleSortUntilNoChange,RANDOM,1000,57,1.80
BubbleSortUntilNoChange,RANDOM,1000,58,1.66
BubbleSortUntilNoChange,RANDOM,1000,59,1.66
BubbleSortUntilNoChange,RANDOM,1000,60,1.70
BubbleSortUntilNoChange,RANDOM,1000,61,1.67
BubbleSortUntilNoChange,RANDOM,1000,62,1.73
BubbleSortUntilNoChange,RANDOM,1000,63,1.68
BubbleSortUntilNoChange,RANDOM,1000,64,1.70
BubbleSortUntilNoChange,RANDOM,1000,65,1.72
BubbleSortUntilNoChange,RANDOM,1000,66,1.70
BubbleSortUntilNoChange,RANDOM,1000,67,1.68
BubbleSortUntilNoChange,RANDOM,1000,68,1.70
BubbleSortUntilNoChange,RANDOM,1000,69,1.69
BubbleSortUntilNoChange,RANDOM,1000,70,1.68
BubbleSortUntilNoChange,RANDOM,1000,71,1.68
BubbleSortUntilNoChange,RANDOM,1000,72,1.68
BubbleSortUntilNoChange,RANDOM,1000,73,1.69
BubbleSortUntilNoChange,RANDOM,1000,74,1.67
BubbleSortUntilNoChange,RANDOM,1000,75,1.66
BubbleSortUntilNoChange,RANDOM,1000,76,1.68
BubbleSortUntilNoChange,RANDOM,1000,77,1.70
BubbleSortUntilNoChange,RANDOM,1000,78,1.68
BubbleSortUntilNoChange,RANDOM,1000,79,1.67
BubbleSortUntilNoChange,RANDOM,1000,80,1.70
BubbleSortUntilNoChange,RANDOM,1000,81,1.65
BubbleSortUntilNoChange,RANDOM,1000,82,1.63
BubbleSortUntilNoChange,RANDOM,1000,83,1.73
BubbleSortUntilNoChange,RANDOM,1000,84,1.66
BubbleSortUntilNoChange,RANDOM,1000,85,1.67
BubbleSortUntilNoChange,RANDOM,1000,86,1.63
BubbleSortUntilNoChange,RANDOM,1000,87,1.67
BubbleSortUntilNoChange,RANDOM,1000,88,1.67
BubbleSortUntilNoChange,RANDOM,1000,89,1.69
BubbleSortUntilNoChange,RANDOM,1000,90,1.63
BubbleSortUntilNoChange,RANDOM,1000,91,1.67
BubbleSortUntilNoChange,RANDOM,1000,92,1.68
BubbleSortUntilNoChange,RANDOM,1000,93,1.66
BubbleSortUntilNoChange,RANDOM,1000,94,1.84
BubbleSortUntilNoChange,RANDOM,1000,95,1.70
BubbleSortUntilNoChange,RANDOM,1000,96,1.65
BubbleSortUntilNoChange,RANDOM,1000,97,1.67
BubbleSortUntilNoChange,RANDOM,1000,98,1.71
BubbleSortUntilNoChange,RANDOM,1000,99,1.65
BubbleSortUntilNoChange,RANDOM,1000,100,1.68
BubbleSortUntilNoChange,RANDOM,1000,101,1.61
BubbleSortUntilNoChange,RANDOM,1000,102,1.67
BubbleSortUntilNoChange,RANDOM,1000,103,1.65
BubbleSortUntilNoChange,RANDOM,1000,104,1.66
BubbleSortUntilNoChange,RANDOM,1000,105,1.65
BubbleSortUntilNoChange,RANDOM,1000,106,1.72
BubbleSortUntilNoChange,RANDOM,1000,107,1.66
BubbleSortUntilNoChange,RANDOM,1000,108,1.70
BubbleSortUntilNoChange,RANDOM,1000,109,1.67
BubbleSortUntilNoChange,RANDOM,1000,110,1.65
BubbleSortUntilNoChange,RANDOM,1000,111,1.68
BubbleSortUntilNoChange,RANDOM,1000,112,1.68
BubbleSortUntilNoChange,RANDOM,1000,113,1.67
BubbleSortUntilNoChange,RANDOM,1000,114,1.66
BubbleSortUntilNoChange,RANDOM,1000,115,1.68
BubbleSortUntilNoChange,RANDOM,1000,116,1.70
BubbleSortUntilNoChange,RANDOM,1000,117,1.71
BubbleSortUntilNoChange,RANDOM,1000,118,1.66
BubbleSortUntilNoChange,RANDOM,1000,119,1.68
BubbleSortUntilNoChange,RANDOM,1000,120,1.65
BubbleSortUntilNoChange,RANDOM,1000,121,1.73
BubbleSortUntilNoChange,RANDOM,1000,122,1.66
BubbleSortUntilNoChange,RANDOM,1000,123,1.66
BubbleSortUntilNoChange,RANDOM,1000,124,1.69
BubbleSortUntilNoChange,RANDOM,1000,125,1.68
BubbleSortUntilNoChange,RANDOM,1000,126,1.72
BubbleSortUntilNoChange,RANDOM,1000,127,1.66
BubbleSortUntilNoChange,RANDOM,1000,128,1.68
BubbleSortUntilNoChange,RANDOM,1000,129,1.67
BubbleSortUntilNoChange,RANDOM,1000,130,1.68
BubbleSortUntilNoChange,RANDOM,1000,131,1.67
BubbleSortUntilNoChange,RANDOM,1000,132,1.67
BubbleSortUntilNoChange,RANDOM,1000,133,1.66
BubbleSortUntilNoChange,RANDOM,1000,134,1.68
BubbleSortUntilNoChange,RANDOM,1000,135,1.66
BubbleSortUntilNoChange,RANDOM,1000,136,1.86
BubbleSortUntilNoChange,RANDOM,1000,137,1.71
BubbleSortUntilNoChange,RANDOM,1000,138,1.69
BubbleSortUntilNoChange,RANDOM,1000,139,1.68
BubbleSortUntilNoChange,RANDOM,1000,140,1.70
BubbleSortUntilNoChange,RANDOM,1000,141,1.64
BubbleSortUntilNoChange,RANDOM,1000,142,1.67
BubbleSortUntilNoChange,RANDOM,1000,143,1.60
BubbleSortUntilNoChange,RANDOM,1000,144,1.60
BubbleSortUntilNoChange,RANDOM,1000,145,1.60
BubbleSortUntilNoChange,RANDOM,1000,146,1.59
BubbleSortUntilNoChange,RANDOM,1000,147,1.59
BubbleSortUntilNoChange,RANDOM,1000,148,1.59
BubbleSortUntilNoChange,RANDOM,1000,149,1.58
BubbleSortUntilNoChange,RANDOM,1000,150,1.58
BubbleSortUntilNoChange,RANDOM,1000,151,1.62
BubbleSortUntilNoChange,RANDOM,1000,152,1.58
BubbleSortUntilNoChange,RANDOM,1000,153,1.58
BubbleSortUntilNoChange,RANDOM,1000,154,1.57
BubbleSortUntilNoChange,RANDOM,1000,155,1.57
BubbleSortUntilNoChange,RANDOM,1000,156,1.57
BubbleSortUntilNoChange,RANDOM,1000,157,1.58
BubbleSortUntilNoChange,RANDOM,1000,158,1.58
BubbleSortUntilNoChange,RANDOM,1000,159,1.66
BubbleSortUntilNoChange,RANDOM,1000,160,1.59
BubbleSortUntilNoChange,RANDOM,1000,161,1.59
BubbleSortUntilNoChange,RANDOM,1000,162,1.60
BubbleSortUntilNoChange,RANDOM,1000,163,1.60
BubbleSortUntilNoChange,RANDOM,1000,164,1.57
BubbleSortUntilNoChange,RANDOM,1000,165,1.60
BubbleSortUntilNoChange,RANDOM,1000,166,1.63
BubbleSortUntilNoChange,RANDOM,1000,167,1.62
BubbleSortUntilNoChange,RANDOM,1000,168,1.57
BubbleSortUntilNoChange,RANDOM,1000,169,1.60
BubbleSortUntilNoChange,RANDOM,1000,170,1.62
BubbleSortUntilNoChange,RANDOM,1000,171,1.62
BubbleSortUntilNoChange,RANDOM,1000,172,1.68
BubbleSortUntilNoChange,RANDOM,1000,173,1.59
BubbleSortUntilNoChange,RANDOM,1000,174,1.62
BubbleSortUntilNoChange,RANDOM,1000,175,1.59
BubbleSortUntilNoChange,RANDOM,1000,176,1.60
BubbleSortUntilNoChange,RANDOM,1000,177,1.61
BubbleSortUntilNoChange,RANDOM,1000,178,1.61
BubbleSortUntilNoChange,RANDOM,1000,179,1.62
BubbleSortUntilNoChange,RANDOM,1000,180,1.64
BubbleSortUntilNoChange,RANDOM,1000,181,1.63
BubbleSortUntilNoChange,RANDOM,1000,182,1.64
BubbleSortUntilNoChange,RANDOM,1000,183,1.58
